28.07.2021 1.0.05.1 Temperatur Tagesgang
28.07.2021
23:59:58

Time	Tist	Tsoll	Kuelhlluft	Kuehlwasser	Zuluft	PIDstellwert	PIDstellwert2
00:00:04	21.0274	21.0000	17.7925	7.1460	22.8102	0.0000	-12.0583
00:00:13	21.0314	21.0000	17.6885	7.1664	22.8082	-13.8787	-9.0906
00:00:23	21.0294	21.0000	17.6130	7.1583	22.8163	-13.9009	-12.8028
00:00:33	21.0314	21.0000	17.5212	7.1664	22.8122	-14.3447	-11.0691
00:00:43	21.0233	21.0000	17.4865	7.1868	22.8143	-13.8730	-11.2526
00:00:53	21.0233	21.0000	17.4845	7.1970	22.8082	-13.3504	-11.2628
00:01:03	21.0233	21.0000	17.4988	7.1868	22.8102	-13.8240	-13.2107
00:01:13	21.0212	21.0000	17.4519	7.1664	22.8082	-15.7077	-13.2209
00:01:23	21.0233	21.0000	17.3785	7.1562	22.8122	-13.3927	-13.0067
00:01:33	21.0274	21.0000	17.3234	7.1685	22.8082	-14.7651	-12.9149
00:01:43	21.0233	21.0000	17.3213	7.1889	22.8082	-14.3828	-15.2503
00:01:53	21.0253	21.0000	17.3377	7.1848	22.8082	-13.9314	-12.1603
00:02:03	21.0314	21.0000	17.3540	7.2011	22.8082	-16.2503	-12.9659
00:02:13	21.0314	21.0000	17.4029	7.2031	22.8082	-13.5212	-12.9659
00:02:23	21.0274	21.0000	17.4274	7.1909	22.8082	-14.4557	-13.0067
00:02:33	21.0212	21.0000	17.4560	7.1868	22.8082	-13.5366	-12.8028
00:02:43	21.0294	21.0000	17.4988	7.2093	22.8082	-15.3599	-12.8130
00:02:53	21.0253	21.0000	17.5559	7.2072	22.8082	-14.5082	-13.2209
00:03:03	21.0253	21.0000	17.5987	7.2093	22.8082	-14.0140	-12.1093
00:03:13	21.0253	21.0000	17.6558	7.2276	22.8082	-14.4856	-12.0379
00:03:23	21.0274	21.0000	17.7578	7.2480	22.8061	-15.4281	-12.9863
00:03:33	21.0253	21.0000	17.8435	7.2337	22.8082	-14.5145	-12.9659
00:03:43	21.0274	21.0000	17.8639	7.2195	22.8082	-14.5678	-14.3325
00:03:53	21.0294	21.0000	17.8435	7.2195	22.8082	-14.5974	-12.7110
00:04:03	21.0376	21.0000	17.8006	7.2031	22.8020	-16.0256	-14.8934
00:04:13	21.0355	21.0000	17.7089	7.1889	22.8041	-13.3112	-13.0067
00:04:23	21.0376	21.0000	17.6150	7.2052	22.8020	-15.2001	-13.0169
00:04:33	21.0396	21.0000	17.5763	7.2195	22.7980	-16.1633	-13.0067
00:04:43	21.0376	21.0000	17.5681	7.2276	22.7980	-14.3534	-13.0067
00:04:53	21.0376	21.0000	17.5844	7.2297	22.7918	-14.8374	-13.0781
00:05:03	21.0396	21.0000	17.6212	7.2399	22.7918	-15.3339	-13.0067
00:05:13	21.0396	21.0000	17.6681	7.2460	22.7959	-15.3600	-13.0169
00:05:23	21.0396	21.0000	17.7252	7.2521	22.7959	-14.4532	-13.0373
00:05:33	21.0396	21.0000	17.7802	7.2623	22.7939	-15.4089	-13.0067
00:05:43	21.0376	21.0000	17.8455	7.2664	22.7959	-14.9549	-13.0169
00:05:53	21.0416	21.0000	17.9149	7.2664	22.7918	-15.4366	-13.0271
00:06:03	21.0376	21.0000	17.9781	7.2704	22.7939	-14.5358	-13.0475
00:06:13	21.0396	21.0000	18.0556	7.2704	22.7898	-15.0143	-13.0169
00:06:23	21.0437	21.0000	18.1311	7.2766	22.7918	-14.5725	-13.0373
00:06:33	21.0396	21.0000	18.2004	7.2786	22.7939	-15.5220	-13.0271
00:06:43	21.0416	21.0000	18.2534	7.2806	22.7918	-15.5297	-13.0781
00:06:53	21.0396	21.0000	18.3309	7.2888	22.7918	-14.6475	-13.0475
00:07:03	21.0355	21.0000	18.3880	7.2888	22.7898	-15.1202	-13.0373
00:07:13	21.0416	21.0000	18.4349	7.2908	22.7878	-15.1184	-13.0373
00:07:23	21.0416	21.0000	18.4859	7.2623	22.7878	-15.1595	-13.3127
00:07:33	21.0416	21.0000	18.4247	7.2052	22.7898	-15.6568	-13.6492
00:07:43	21.0416	21.0000	18.2595	7.1501	22.7918	-15.6993	-13.8328
00:07:53	21.0416	21.0000	18.0576	7.1481	22.7878	-15.2774	-13.0373
00:08:03	21.0437	21.0000	17.8904	7.1562	22.7878	-14.8094	-13.0475
00:08:13	21.0437	21.0000	17.7884	7.1460	22.7898	-15.7914	-13.5778
00:08:23	21.0457	21.0000	17.6497	7.1277	22.7898	-15.3361	-13.5778
00:08:33	21.0416	21.0000	17.4437	7.1175	22.7878	-14.4312	-13.5676
00:08:43	21.0437	21.0000	17.2194	7.1093	22.7918	-15.7973	-13.5472
00:08:53	21.0416	21.0000	16.9971	7.1052	22.7878	-15.3807	-13.5880
00:09:03	21.0396	21.0000	16.7768	7.1052	22.7878	-14.9212	-13.5370
00:09:13	21.0355	21.0000	16.5687	7.1052	22.7898	-14.9322	-13.5472
00:09:23	21.0314	21.0000	16.4117	7.1032	22.7878	-12.9622	-10.5898
00:09:33	21.0212	21.0000	16.3118	7.1277	22.7878	-15.2084	-11.5178
00:09:43	21.0192	21.0000	16.2812	7.1297	22.7878	-13.3084	-11.9257
00:09:53	21.0192	21.0000	16.2689	7.1379	22.7857	-15.5967	-12.3846
00:10:03	21.0192	21.0000	16.2669	7.1460	22.7898	-13.7499	-12.3744
00:10:13	21.0172	21.0000	16.2893	7.1460	22.7878	-15.6064	-12.4050
00:10:23	21.0172	21.0000	16.3322	7.1522	22.7878	-16.0838	-12.3846
00:10:33	21.0192	21.0000	16.3811	7.1603	22.7878	-15.1668	-13.3433
00:10:43	21.0192	21.0000	16.4117	7.1664	22.7857	-14.2496	-13.3229
00:10:53	21.0151	21.0000	16.4464	7.1664	22.7857	-15.6413	-13.2821
00:11:03	21.0131	21.0000	16.4790	7.1725	22.7857	-13.7877	-13.3637
00:11:13	21.0070	21.0000	16.5096	7.1848	22.7816	-14.1650	-12.1603
00:11:23	21.0090	21.0000	16.5667	7.2072	22.7816	-15.9865	-13.7308
