01.08.2021 3.0.07 Temperatur Tagesgang
01.08.2021
23:59:58

Time	Tist	Tsoll	Kuelhlluft	Kuehlwasser	Zuluft	PIDstellwert	PIDstellwert2
00:00:03	20.9737	21.0000	20.0413	8.5350	21.2021	0.0000	-11.9794
00:00:12	20.9757	21.0000	20.1290	8.5472	21.2102	-21.9852	-9.7971
00:00:22	20.9757	21.0000	20.2228	8.5553	21.2000	-24.4446	-11.3981
00:00:32	20.9737	21.0000	20.3064	8.5737	21.2041	-23.9490	-11.2961
00:00:42	20.9777	21.0000	20.3982	8.5757	21.2000	-23.4754	-11.8774
00:00:52	20.9777	21.0000	20.4920	8.5921	21.2021	-22.9777	-11.5205
00:01:02	20.9818	21.0000	20.5797	8.6002	21.2041	-24.4624	-11.5613
00:01:12	20.9737	21.0000	20.6613	8.6104	21.1959	-21.9737	-11.4797
00:01:22	20.9757	21.0000	20.7347	8.6165	21.2102	-24.4245	-11.8060
00:01:32	20.9737	21.0000	20.7816	8.6186	21.2041	-23.9421	-11.7958
00:01:42	20.9777	21.0000	20.7021	8.6247	21.2021	-22.9523	-11.8672
00:01:52	20.9798	21.0000	20.5185	8.6186	21.2102	-23.9573	-11.7754
00:02:02	20.9798	21.0000	20.2575	8.6002	21.2143	-23.9778	-11.7856
00:02:12	20.9838	21.0000	19.9720	8.5676	21.2122	-23.4974	-11.1534
00:02:22	20.9900	21.0000	19.6946	8.5268	21.2143	-24.0084	-12.5402
00:02:32	20.9900	21.0000	19.4764	8.4982	21.2143	-24.5295	-11.5715
00:02:42	20.9879	21.0000	19.3316	8.4819	21.2163	-24.0692	-11.7754
00:02:52	20.9940	21.0000	19.2786	8.4758	21.2204	-23.5881	-12.6932
00:03:02	20.9920	21.0000	19.2949	8.4717	21.2245	-24.1051	-10.7964
00:03:12	20.9920	21.0000	19.3561	8.4656	21.2204	-22.5784	-11.2145
00:03:22	20.9838	21.0000	19.4458	8.4656	21.2204	-23.5193	-11.1636
00:03:32	20.9838	21.0000	19.5519	8.4738	21.2204	-23.5080	-12.1833
00:03:42	20.9838	21.0000	19.6783	8.4778	21.2204	-23.4845	-10.6945
00:03:52	20.9818	21.0000	19.7946	8.4799	21.2224	-22.4972	-11.6734
00:04:02	20.9838	21.0000	19.8823	8.4758	21.2286	-22.9411	-10.8576
00:04:12	20.9859	21.0000	19.9251	8.4697	21.2326	-23.4397	-11.5613
00:04:22	20.9798	21.0000	19.9047	8.4738	21.2265	-22.4146	-11.7856
00:04:32	20.9798	21.0000	19.8680	8.4615	21.2347	-24.8854	-11.1738
00:04:42	20.9798	21.0000	19.8068	8.4574	21.2306	-23.4106	-11.9896
00:04:52	20.9838	21.0000	19.6804	8.4432	21.2347	-23.4009	-11.7652
00:05:02	20.9838	21.0000	19.5192	8.4228	21.2347	-22.4005	-11.7448
00:05:12	20.9838	21.0000	19.3316	8.3860	21.2388	-23.8837	-11.6224
00:05:22	20.9879	21.0000	19.1236	8.3534	21.2347	-23.9083	-11.9182
00:05:32	20.9900	21.0000	18.9135	8.3310	21.2326	-22.9177	-11.2757
00:05:42	20.9879	21.0000	18.7769	8.3126	21.2367	-23.9281	-11.3675
00:05:52	20.9838	21.0000	18.6688	8.2841	21.2347	-24.4186	-11.3675
00:06:02	20.9879	21.0000	18.5607	8.2555	21.2347	-21.3909	-11.2757
00:06:12	20.9798	21.0000	18.4363	8.2412	21.2367	-24.8597	-11.2655
00:06:22	20.9838	21.0000	18.3915	8.2290	21.2347	-23.3638	-12.1221
00:06:32	20.9818	21.0000	18.4180	8.2208	21.2367	-21.8836	-11.5817
00:06:42	20.9859	21.0000	18.4934	8.2249	21.2367	-23.3181	-11.1432
00:06:52	20.9757	21.0000	18.6219	8.2249	21.2306	-22.7943	-11.4491
00:07:02	20.9716	21.0000	18.7565	8.2371	21.2265	-22.2075	-10.6537
00:07:12	20.9675	21.0000	18.8952	8.2269	21.2245	-23.6537	-11.2655
00:07:22	20.9675	21.0000	18.9768	8.2208	21.2224	-21.1473	-11.2655
00:07:32	20.9675	21.0000	18.9666	8.2188	21.2224	-23.0820	-10.3274
00:07:42	20.9675	21.0000	18.9604	8.2147	21.2204	-24.0585	-11.0616
00:07:52	20.9635	21.0000	18.9564	8.2127	21.2122	-22.5573	-11.5715
00:08:02	20.9675	21.0000	18.9033	8.2025	21.2122	-23.0227	-11.1738
00:08:12	20.9614	21.0000	18.8748	8.2086	21.2082	-21.9827	-10.4497
00:08:22	20.9573	21.0000	18.9176	8.2229	21.2102	-21.9419	-11.6734
00:08:32	20.9573	21.0000	19.0033	8.2229	21.2122	-20.8786	-10.9596
00:08:42	20.9533	21.0000	19.1052	8.2269	21.2122	-21.8177	-10.4497
00:08:52	20.9492	21.0000	19.2337	8.2351	21.2122	-22.7189	-10.4497
00:09:02	20.9492	21.0000	19.3826	8.2494	21.2082	-22.1562	-10.4497
00:09:12	20.9451	21.0000	19.5376	8.2555	21.2041	-22.1127	-11.2655
00:09:22	20.9471	21.0000	19.6722	8.2616	21.2041	-23.0752	-11.2655
00:09:32	20.9431	21.0000	19.7313	8.2616	21.2041	-22.0679	-10.6639
00:09:42	20.9410	21.0000	19.8048	8.2596	21.2082	-21.5159	-10.9698
00:09:52	20.9390	21.0000	19.8904	8.2596	21.2102	-22.4588	-10.8780
00:10:02	20.9390	21.0000	19.9740	8.2657	21.2102	-21.4219	-10.8576
00:10:12	20.9431	21.0000	20.0556	8.2779	21.2061	-23.3950	-10.8576
00:10:22	20.9390	21.0000	20.1249	8.2820	21.2061	-21.8748	-10.7557
00:10:32	20.9390	21.0000	20.1922	8.2963	21.2021	-22.8412	-11.1636
00:10:42	20.9451	21.0000	20.2616	8.3004	21.2041	-21.8070	-10.5925
00:10:52	20.9369	21.0000	20.3330	8.3106	21.2061	-22.3239	-11.3879
00:11:02	20.9410	21.0000	20.3839	8.3269	21.2102	-21.8070	-11.0616
00:11:12	20.9451	21.0000	20.4390	8.3310	21.2102	-23.7682	-10.4497
00:11:22	20.9451	21.0000	20.5083	8.3432	21.2122	-21.7341	-10.0418
00:11:32	20.9410	21.0000	20.5675	8.3514	21.2122	-22.7777	-11.3063
00:11:42	20.9471	21.0000	20.6205	8.3677	21.2122	-23.2375	-10.7455
00:11:52	20.9451	21.0000	20.6817	8.3759	21.2184	-22.2509	-10.6333
00:12:02	20.9471	21.0000	20.7388	8.3820	21.2122	-22.7761	-11.3165
00:12:12	20.9512	21.0000	20.7816	8.3962	21.2143	-22.2558	-11.2655
00:12:22	20.9573	21.0000	20.8530	8.4126	21.2122	-21.7878	-12.1119
00:12:32	20.9471	21.0000	20.9081	8.4207	21.2122	-22.2969	-10.6537
00:12:42	20.9553	21.0000	20.9611	8.4370	21.2184	-22.7657	-11.3879
00:12:52	20.9594	21.0000	21.0019	8.4391	21.2143	-24.7620	-10.0520
00:13:02	20.9573	21.0000	20.9937	8.4432	21.2204	-21.8247	-12.1629
00:13:12	20.9594	21.0000	20.8999	8.4472	21.2245	-23.2806	-10.2764
00:13:22	20.9614	21.0000	20.8041	8.4452	21.2245	-23.3392	-12.3873
00:13:32	20.9614	21.0000	20.6797	8.4432	21.2306	-21.3680	-10.7862
00:13:42	20.9675	21.0000	20.5818	8.4432	21.2306	-23.3493	-11.6734
00:13:52	20.9675	21.0000	20.5287	8.4513	21.2326	-22.3669	-11.1840
00:14:02	20.9716	21.0000	20.5185	8.4595	21.2347	-22.8903	-11.4491
00:14:12	20.9696	21.0000	20.5430	8.4656	21.2326	-22.9037	-10.4905
00:14:22	20.9757	21.0000	20.6103	8.4717	21.2326	-22.9142	-11.2145
